Partei,BP,BüSo,CSU,DIE FRANKEN,DIE FREIHEIT,DIE LINKE,FDP,FRAUENLISTE,FREIE WÄHLER,GRÜNE,NPD,PIRATEN,REP,SPD,ÖDP
BP,38,19,22,22,19,10,17,14,20,10,19,7,19,16,18
BüSo,19,38,21,18,18,20,20,18,24,15,16,14,19,17,21
CSU,22,21,38,21,22,7,19,15,25,12,16,9,19,17,23
DIE FRANKEN,22,18,21,38,24,12,17,18,22,10,19,9,19,17,18
DIE FREIHEIT,19,18,22,24,38,9,21,14,26,6,22,9,22,10,14
DIE LINKE,10,20,7,12,9,38,16,26,17,27,16,26,10,24,18
FDP,17,20,19,17,21,16,38,16,23,18,12,18,12,19,14
FRAUENLISTE,14,18,15,18,14,26,16,38,20,19,15,15,16,27,21
FREIE WÄHLER,20,24,25,22,26,17,23,20,38,14,20,14,19,20,23
GRÜNE,10,15,12,10,6,27,18,19,14,38,11,29,7,22,15
NPD,19,16,16,19,22,16,12,15,20,11,38,10,29,14,21
PIRATEN,7,14,9,9,9,26,18,15,14,29,10,38,5,16,14
REP,19,19,19,19,22,10,12,16,19,7,29,5,38,15,19
SPD,16,17,17,17,10,24,19,27,20,22,14,16,15,38,24
ÖDP,18,21,23,18,14,18,14,21,23,15,21,14,19,24,38
