Thesen,DKP,SPD,FDP,pro Deutschland,Die PARTEI,ddp,FAMILIE,PIRATEN,APPD,Tierschutzpartei,DIE LINKE,UNABHÄNGIGE,B,BüSo,ödp,DIE FREIHEIT,NPD,PSG,CDU,BIG,Deutsche Konservative,GRÜNE
Projekte gegen Rechtsextremismus sollen weiterhin gefördert werden.,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1
Auf mehr Berliner Straßen soll Tempo 30 gelten.,1,1,-1,-1,0,-1,-1,0,1,1,0,0,1,-1,1,-1,-1,1,-1,-1,-1,1
Die Privatisierung der Berliner Wasserbetriebe soll rückgängig gemacht werden.,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1
Am Bahnhof Zoo sollen wieder Fernverkehrszüge halten.,-1,0,1,0,1,1,1,0,1,0,-1,1,1,-1,1,-1,-1,0,1,0,1,1
Berlin soll weiterhin Kulturprojekte von Menschen mit Migrationshintergrund fördern.,1,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,-1,1
In Berlin sollen die Hürden für Volksentscheide gesenkt werden.,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1
Bei der Berliner Abgeordnetenhauswahl: Wählen ab 16 Jahren!,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,1
An Berliner Schulen soll für Berufe bei der Bundeswehr geworben werden dürfen.,-1,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1
Das Land Berlin soll sich für die Einführung einer gesetzlichen Frauenquote in Aufsichtsräten und Vorständen einsetzen.,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1
Härteres Vorgehen bei Verschmutzung durch Hundekot.,1,0,1,1,1,1,1,0,1,-1,1,1,1,-1,0,1,1,0,1,1,1,1
Das Tempelhofer Feld soll komplett als Grünfläche erhalten bleiben. ,1,0,-1,1,1,-1,-1,0,1,1,1,1,1,1,-1,1,1,1,0,0,-1,1
Projekte zur Bekämpfung des Linksextremismus sollen gefördert werden.,-1,-1,1,1,-1,1,1,0,0,1,-1,1,-1,0,1,1,1,-1,1,1,1,-1
Alle Kinder im Vorschulalter sollen zusätzliche Sprachtests absolvieren müssen.,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1
Die Grunderwerbssteuer soll erhöht werden.,1,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,0,0,1,-1,-1,0,-1,-1,-1,1
Die sechsjährige Grundschulzeit soll für alle Schülerinnen und Schüler verpflichtend sein.,1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1
"Kriminelle Jugendliche sollen bei einer Verurteilung auf Bewährung auch für kurze Zeit inhaftiert werden können (""Warnschussarrest"").",-1,-1,1,1,-1,1,1,0,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1
Kommunales Wahlrecht für alle dauerhaft in Berlin wohnenden Ausländerinnen und Ausländer!,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1
"Hartz IV-Empfängerinnen und -Empfängern sollen auch weiterhin Leistungen gekürzt werden, wenn sie ein Jobangebot ablehnen.",-1,1,1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,1,1,-1,1,-1,1,-1
Der Alkoholkonsum auf öffentlichen Plätzen soll weiter eingeschränkt werden.,-1,0,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,-1
Eingetragene Lebenspartnerschaften sollen der Ehe gleichgestellt werden.,1,1,0,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,1
Mehr Menschen mit Migrationshintergrund sollen im öffentlichen Dienst Berlins arbeiten.,1,1,0,-1,1,-1,0,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,1
Alle Kinder sollen ungeachtet ihres kulturellen Hintergrundes gemeinsam unterrichtet werden.,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1
Kindergeld soll nur an deutsche Familien ausgezahlt werden.,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
Gesetzliche Mindestlöhne sollen weiterhin nur für einzelne Branchen gelten.,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1
Die Stadtautobahn A100 soll verlängert werden.,-1,1,1,0,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,1,1,-1,1,-1,1,-1
Die Berliner S-Bahn soll als landeseigenes Unternehmen betrieben werden!,-1,1,-1,1,1,1,-1,1,1,1,1,0,1,1,-1,1,1,1,-1,1,1,0
Die Bebauung des Spreeufers im Rahmen des Mediaspree-Projekts soll gestoppt werden.,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,0,-1,1
Abschaffung der Umweltzone in Berlin!,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,0,-1,1,-1
Die Berliner Gedenkstätten für die Opfer des NS-Regimes sollen weiterhin vom Land Berlin finanziell gefördert werden.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
"Berlin soll sich dafür einsetzen, dass sich Asylbewerber und Asylbewerberinnen in ganz Deutschland frei bewegen dürfen.",1,1,0,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,-1,1
"Das jahrgangsübergreifende Lernen (""JüL"") an Berliner Grundschulen soll abgeschafft werden.",-1,-1,1,1,1,1,0,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,-1
Das letzte Kita-Jahr vor der Einschulung soll für alle Kinder verpflichtend sein.,1,-1,-1,-1,0,1,1,0,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1
Alle Bachelor-Absolventen Berliner Hochschulen sollen einen Rechtsanspruch auf einen Masterstudienplatz in Berlin haben.,1,0,-1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,0,1,1,-1,1,1,1
Berlin soll den sozialen Wohnungsbau wieder fördern. ,1,-1,-1,1,1,1,1,-1,1,1,1,0,1,1,1,0,1,1,-1,1,1,1
Bei Großeinsätzen sollen alle Polizistinnen und Polizisten eine individuelle Kennung tragen müssen.,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,-1,1,-1,1
Berliner Lehrerinnen und Lehrer für islamischen Religionsunterricht sollen an deutschen Hochschulen ausgebildet worden sein.,-1,1,1,-1,1,-1,0,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1
Die Videoüberwachung im öffentlichen Raum soll ausgeweitet werden.,-1,0,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1
"In Berlin soll es eine Steuer für Hotelübernachtungen geben (""City-Tax"").",1,1,-1,-1,1,-1,1,0,1,1,1,-1,-1,-1,-1,1,1,0,-1,-1,1,1
